AtomicNumber,Element,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Electronegativity,FirstIonization,Density,MeltingPoint,BoilingPoint,SpecificHeat,NumberofShells,NumberofValence,Radius,IonicRadius,CovalentRadius,ElectronAffinity,IsMetal
1,Hydrogen,1.007,0,1,1,1,2.2,13.5984,0.0000899,14.175,20.28,14.304,1,1,0.53,0.25,0.37,0.754,0
2,Helium,4.002,2,2,2,1,0,24.5874,0.000179,0.95,4.22,5.193,1,2,0.31,0.31,0.32,-0.5,0
3,Lithium,6.941,4,3,3,2,0.98,5.3917,0.534,453.85,1615,3.582,2,1,1.67,1.45,1.34,0.618,1
4,Beryllium,9.012,5,4,4,2,1.57,9.3227,1.85,1560.15,2742,1.825,2,2,1.12,1.05,0.9,-0.5,0
5,Boron,10.811,6,5,5,2,2.04,8.298,2.34,2573.15,4200,1.026,2,3,0.87,0.85,0.82,0.279,0
6,Carbon,12.011,6,6,6,2,2.55,11.2603,2.27,3948.15,4300,0.709,2,4,0.67,0.7,0.77,1.262,0
7,Nitrogen,14.007,7,7,7,2,3.04,14.5341,0.00125,63.29,77.36,1.04,2,5,0.56,0.65,0.75,-0.07,0
8,Oxygen,15.999,8,8,8,2,3.44,13.6181,0.00143,50.5,90.2,0.918,2,6,0.48,0.6,0.73,1.461,0
9,Fluorine,18.998,10,9,9,2,3.98,17.4228,0.0017,53.63,85.03,0.824,2,7,0.42,0.5,0.71,3.401,0
10,Neon,20.18,10,10,10,2,0,21.5645,0.0009,24.703,27.07,1.03,2,8,0.38,0.38,0.69,-1.2,1
11,Sodium,22.99,12,11,11,3,0.93,5.1391,0.971,371.15,1156,1.228,3,1,1.9,1.8,1.54,0.547,1
12,Magnesium,24.305,12,12,12,3,1.31,7.6462,1.74,923.15,1363,1.023,3,2,1.45,1.5,1.3,-0.4,1
13,Aluminum,26.982,14,13,13,3,1.61,5.9858,2.7,933.4,2792,0.897,3,3,1.18,1.25,1.18,0.432,0
14,Silicon,28.086,14,14,14,3,1.9,8.1517,2.33,1683.15,3538,0.705,3,4,1.11,1.1,1.11,1.389,0
15,Phosphorus,30.974,16,15,15,3,2.19,10.4867,1.82,317.25,553,0.769,3,5,0.98,1,1.06,0.746,0
16,Sulfur,32.065,16,16,16,3,2.58,10.36,2.07,388.51,717.8,0.71,3,6,0.88,1,1.02,2.077,0
17,Chlorine,35.453,18,17,17,3,3.16,12.9676,0.00321,172.31,239.11,0.479,3,7,0.79,1,0.99,3.612,0
18,Argon,39.948,22,18,18,3,0,15.7596,0.00178,83.96,87.3,0.52,3,8,0.71,0.71,0.97,-1,1
